business_id,name,stars,latitude,longitude,cuisine,neighborhood
EvpaNOrJPEa_tuLI0sQjbg,Rowdy Tiger Whiskey Bar & Kitchen,4.0,33.7782431,-84.3882896,Comfort Food,Midtown Atlanta
pfrFnXRnmmPoBbH6zOOqhg,Buckhead Bottle Bar & Bistro,2.5,33.8394567,-84.378687,American (Traditional),Buckhead
7gbCcY7MrL-Kz6TmsJDLrQ,Lucky Thai,4.5,33.8279337,-84.3265107,Asian Fusion,Briarcliff Heights
t7mMoNsNX0DSRFVnbHIRcA,Viet-Nomie's Gourmet Food Truck,4.0,33.9190715731,-84.2566981432,Vietnamese,Other
HqHK5r3vM6nmxFWf-jV0RQ,China Taste,3.5,33.8652613602,-84.4925508681,Chinese,Other
b2P9syzeoA39s2R24Nx1-Q,Frankie's Food Sports & Spirits,4.0,33.9080504,-84.3797263,American (New),Other
8-Z9S0PPjkK_r5mZGqa1PQ,Wingstop,2.5,33.7699113795,-84.3814023826,American (New),Old Fourth Ward
U1TNktr9XCBjRlEXqKxUnQ,Hop's Chicken,3.0,33.7724257265,-84.3658560037,American (Traditional),Old Fourth Ward
QfBPiPJDEOad4eddttvXYQ,HOBNOB Neighborhood Tavern - Dunwoody,4.0,33.9290171091,-84.344732099,Pizza,Perimeter Center
mAW0poOKFdoaBFXAE-xjJA,Souper Jenny,4.0,33.8418236,-84.386319,Soup,Buckhead
3ktXfF4e-NynVB2t68XL8g,Lidl,4.0,33.8274503002,-84.3334159,Other,Other
r4x5kttmt18nzhXfS9mHSA,Rocco's New York Pizza 2,1.5,33.7744309,-84.3590162,Italian,Virginia-Highland
jjvhpG8Gz1gkiGoZFATcPQ,Gravity Pub,3.0,33.739961,-84.346463,American (Traditional),East Atlanta
30fJHza85ylBfyb-jtpxcQ,JP Atlanta,3.5,33.7600779,-84.3878652,American (Traditional),Peachtree Center
GfSQJ3Ex7IjomEAav9Mwzw,La Parrilla Mexican Restaurant,3.5,33.814776644,-84.3108190683,Buffets,Toco Hills
7aE3E_NQaE7csFBifjC4Cg,Twelve 06 Restaurant,2.5,33.8591978,-84.4804482,American (New),Cumberland
Uav2X_H88UDMqBmE7Ej5SA,Atlanta Candy Bar,4.0,33.7554735054,-84.3818356097,Other,Hotel District
vZZkp535c3i5GvM0un_v3g,8ARM,3.5,33.7738023,-84.364226,American (New),Virginia-Highland
OD97PIrms4dSxVbdT1T7Bw,The Garden Room,4.0,33.839913,-84.382706,American (Traditional),Buckhead
LWxlTLl_K4k5uFb8KUBpkA,Carnitas Michoacan,3.0,33.8642215,-84.3080155,Mexican,Other
_8DT1aiE2O5IMbHeLprMdQ,Taco Mac - Virginia Highlands,3.0,33.781967,-84.354628,Tex-Mex,Virginia-Highland
i8OzIYTaLoL3VfawoI9LBg,Cheeseburger in Paradise,2.5,33.9292825,-84.3442729,American (New),Perimeter Center
kuLxF4v6if54-wuHS7UttQ,Escorpión,3.5,33.7765774,-84.3847848,Latin American,Midtown Atlanta
bcXr24FtZx33vywpAa0qsw,Local Three,4.0,33.844578,-84.426564,American (New),Buckhead
rP5BlDwL9lHL-JK_wTeOlg,Osha Thai Sushi Galleria,4.0,33.8048801,-84.3944474,Asian Fusion,Ardmore
FmdEYtV6W578qKT3ajtlJQ,Arize Breakfast Cafe,3.5,33.6581470817,-84.5021474361,Breakfast & Brunch,Other
Dw_tRvOgSkOFq74B9-430g,Walgreens,3.0,33.8337908,-84.3826221,Other,Buckhead
hZV_3_HMtcnTv71pZDcIQg,Bankhead Seafood Restaurant,2.5,33.7729556,-84.4416766,Seafood,Grove Park
-ppewVpozAC5QGoLXp4bQg,The Queso Truck,3.0,33.7843096693,-84.3830714375,Other,Midtown Atlanta
63Mq1vSk79DbrjD092qXuA,First Batch Ice Cream,4.5,33.764549,-84.3501586,Other,Inman Park
FPBdwHzi8EXBeOFZj6isFQ,Pizza Hut,1.5,33.7713662606,-84.3719444505,Pizza,Old Fourth Ward
4hFIb7ltpvfLbw7ZyKVgfA,Bentley's Steakhouse,3.5,33.626097,-84.461076,Steakhouses,Other
C3J792lHp29tKCcJjJGjNA,Planet Living,3.0,33.7962192,-84.3700261,Other,Piedmont Heights
22Y5HC5GY7KcHR_LeNH_HA,Maggiano's Little Italy,3.5,33.8483039,-84.3674715,Italian,Buckhead
CM_9R-uIfsR3s9PjkOCoDA,Ladybird Grove & Mess Hall,3.5,33.7597182911,-84.3644041331,American (New),Old Fourth Ward
iJ1vqcHFhDSR-vunw7np-w,Salt + Block,4.0,33.9348629447,-84.3594795189,Salad,Perimeter Center
x4_kTN5Q-xCjxLU08jUP7g,Pizza Hut,2.0,33.747072,-84.3266148,Pizza,Parkview
FfAzwv9L6rTIqltJg1QCvA,Elliott Street Deli & Pub,4.0,33.7532187,-84.3982117,Delis,Downtown Atlanta
on3F1CANwFvrNlLSr4VVJw,2 Boy's BBQ,3.5,33.7653782,-84.5312704,Soul Food,Other
24--2r1ZEgnmJs5iVVAOgQ,Wagaya - Westside,4.0,33.786349,-84.398266,Seafood,Home Park
HCNr9CmVlit-0dbc5OjprA,Dawa,3.0,33.7462196,-84.3669545,Burgers,Grant Park
jPBySXO_3jOwdP4M473uXw,Boruboru sushi,4.0,33.8007211892,-84.3265157193,Japanese,Other
ffapz3FvhjJrMS8ijcx1ag,Samuel Adams Brewery,2.5,33.6396613679,-84.4392619049,American (New),Other
hZ09jCYQZu-KnbPk_QfIjA,IHOP,3.0,33.840583,-84.378268,Breakfast & Brunch,Buckhead
862FLo0SSy0CTuEmGDMG_Q,Little Trouble,3.5,33.785837,-84.412158,Asian Fusion,Home Park
k0oIUs7m6PnIWyA3m5Msxg,BP,2.0,33.8009398,-84.4253188,Other,Blandtown
AuX4pBe8kZK92qiSbN0P3Q,Queen of Cream,4.5,33.773591,-84.3537223,Other,Poncey-Highland
WAPeh8A8QnvJgGA88HXOfQ,New Star,3.5,33.7240758642,-84.4997059554,Soup,Other
MeeJsAi_rRIk7PFzAMi_wg,Desta Ethiopian Kitchen - Emory Point,4.5,33.8010902,-84.3284118,Ethiopian,Other
0TCpWncjj74YXt3-aItVmA,Einstein Bros. Bagels,2.5,33.8071951,-84.3667671,Breakfast & Brunch,Piedmont Heights
-7sTPUW1zHFHbTDgNVTyLg,Field Dog Kitchen,4.0,33.9025669,-84.2542195,American (New),Other
Z-IauLuBeVVYvwvZTbeCtQ,Match Bar & Oven,4.0,33.7494052,-84.402058,Hawaiian,Downtown Atlanta
z-AnqlLKPbsoW4cLspHvTA,Juice it Atlanta,3.0,33.7738116,-84.3641661,Other,Virginia-Highland
fNRL0krlyFeXfRzDGyxUaQ,Yasin's Homestyle Seafood,3.5,33.7380841756,-84.4230407104,Seafood,West End
T1_4G3NymqV7-9kaJtOz3g,American Deli,3.0,33.6551497,-84.5049645,Sandwiches,Other
etStbq0-bYZovkzbow1V9A,Chick-fil-A,3.0,33.879763,-84.4678541,Fast Food,Cumberland
2YjYcg9I38WGIUZ4iwPqgg,Frutta Bowls -Chastain Park,4.5,33.8884746,-84.3824034,Cafes,Other
